IDOrganizzazione_1,IDOrganizzazione_2,similarità_campi dei piani,similarità_macroambiti dei piani,similarità_dimensione dell'organizzazione,similarità_popolazione residente nel comune dell'organizzazione,similarità_azioni eseguite (voci della tassonomia),similarità_composizione statistica dell'organico,similarità_anni di attività,similarità_settore dell'organizzazione,similarità_Media generale,similarità Media Piani delle organizzazioni,similarità Media caratteristiche delle organizzazioni
3,1371,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1372,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1373,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1385,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1386,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1388,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1720,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1389,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1402,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1403,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1408,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1608,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1652,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1701,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1706,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1713,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,12757999,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
